input_address,cbsa_code,cbsa_name,cbsa_type,scrape_timestamp,service_name_group,lot_size,treatment_area,cost,discount,net_cost,total_cost
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Weed Control and Crabgrass Control,7575.0,7575.0,96.0,0.0,96.0,96.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Fertilization,7575.0,7575.0,96.0,0.0,96.0,96.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Weed Control,7575.0,7575.0,96.0,0.0,96.0,96.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Mosquito Control,7575.0,7575.0,79.0,0.0,79.0,79.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Insect Control,7575.0,,525.0,0.0,525.0,525.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Insect Control,7575.0,7575.0,105.0,0.0,105.0,105.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Grub Control,7575.0,7575.0,105.0,0.0,105.0,105.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Aeration and Overseeding,7575.0,7575.0,576.0,0.0,576.0,576.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Aeration,7575.0,7575.0,265.0,0.0,265.0,265.0
"9626 SHOOTING STAR CIR, SODDY DAISY, TN 37379",16860,"Chattanooga, TN-GA",Metropolitan,2026-03-17T21:12:48.169890,Armyworm Control,7575.0,7575.0,163.0,0.0,163.0,163.0
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Fertilization,6613.0,6613.0,80.55,0.0,80.55,80.55
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Weed Control,6613.0,6613.0,80.55,0.0,80.55,80.55
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Liming,6613.0,6613.0,80.55,0.0,80.55,80.55
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Disease Control,6613.0,6613.0,112.95,0.0,112.95,112.95
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Mosquito Control,6613.0,6613.0,79.0,0.0,79.0,79.0
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Aeration,6613.0,6613.0,216.65,0.0,216.65,216.65
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Aeration and Overseeding,6613.0,6613.0,409.9,0.0,409.9,409.9
"3733 FOX HOLE DR, CLARKSVILLE, TN 37040",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:07.258053,Soil Management,6613.0,6613.0,238.55,0.0,238.55,238.55
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Fertilization,4777.0,4777.0,72.35,0.0,72.35,72.35
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Weed Control,4777.0,4777.0,72.35,0.0,72.35,72.35
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Liming,4777.0,4777.0,72.35,0.0,72.35,72.35
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Disease Control,4777.0,4777.0,98.85,0.0,98.85,98.85
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Mosquito Control,4777.0,4777.0,79.0,0.0,79.0,79.0
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Aeration,4777.0,4777.0,182.1,0.0,182.1,182.1
"1509 OSAGE CT, CLARKSVILLE, TN 37042",17300,"Clarksville, TN-KY",Metropolitan,2026-03-17T21:14:34.342272,Aeration and Overseeding,4777.0,4777.0,334.3,0.0,334.3,334.3
